p	30	35	40	45	50	55	60	65	70
0.4	7.2	7.8	8.8	8.8	9.6	10	10.8	12.2	12.2
0.41	7	7.8	8.6	9.4	9.6	10.4	11.6	11.6	12
0.42	7.2	8	9	9.8	10	10.8	11.2	12	12.6
0.43	7.2	8.2	9	9	10.6	10.8	11.2	12.6	12.6
0.44	7.6	8.2	9.4	10	10	11.2	11.4	12	12.6
0.45	7.6	9.2	9.6	9.6	11.2	11.6	12.4	12.4	13
0.46	7.8	8.6	9.2	10.6	10.8	11.4	12	12.4	13.8
0.47	8.2	9.2	9.4	9.6	11	11.6	12	12.8	13.6
0.48	7.4	8.6	10.2	10.2	10.6	12.2	12.6	12.6	13.6
0.49	8.4	9.2	10.2	10.6	11	11.8	12.8	14.2	14.6
0.5	8.6	9.4	9.8	10.2	11.4	12.6	13.2	13.8	14
0.51	8.2	9.6	9.4	10.8	11.4	13	13.2	13.6	14.8
0.52	8.6	10	10.2	11.2	12.6	12.8	12.8	14.4	15.2
0.53	9.6	9.6	10.4	11.2	11.4	12	13.2	14.6	15
0.54	8.8	9.8	11	11.8	12	12.8	13.8	15	15.4
0.55	9.4	10.2	10.2	12.6	12.6	13.6	14.2	14.4	16
0.56	9.4	9.8	11	11.8	12.6	13.2	14	14.4	15.8
0.57	9.6	10.4	11.2	12	13.2	13.4	14.2	15.4	15.6
0.58	9	10.6	11	12	12.4	14.4	15.4	15.4	16.4
0.59	9.6	10.6	11.4	13	13.4	14.2	14.8	16.6	16.4
0.6	9.8	11	12.4	12.4	13.6	14.4	15.4	16	17.6
