p	30	35	40	45	50	55	60	65	70
0.4	7	6.4	7.8	8	8.8	9.2	9.2	10	10
0.41	6.6	6.8	7.4	8	8.2	8.8	9.6	9.4	10
0.42	6.8	7.8	8	8.6	9.2	9.4	8.6	9	10.2
0.43	7	7.6	8	8.4	8.4	9.4	10.2	9.6	9.6
0.44	7	7.4	8	8.4	9.2	9.6	9.8	9.2	9
0.45	6.4	7.4	8.4	8.8	9.2	9.6	9.8	9.8	9.4
0.46	7	7.8	8	8.4	9	9.6	9.6	8.6	8.6
0.47	7	7.8	8.8	8.2	8.8	9.2	9.4	9.2	8.4
0.48	7	8	8.2	9.2	9.4	9.2	9.4	8.6	8.6
0.49	7.2	7.6	9	9	9	9.4	8.4	9	8.8
0.5	8	7.4	8.4	9.2	9.6	9.6	9.2	8.4	8.6
0.51	7.4	8.4	8.4	9.2	9.8	9	8.4	8.2	8
0.52	7.2	8.2	8.8	9.4	8.8	9	7.6	7.6	8.4
0.53	7.8	7.8	8.8	9.4	8.8	9.6	8.2	8	7.2
0.54	7.8	7.8	9	9	9.8	8	8.8	7.4	7.2
0.55	7.8	8.8	9	9.2	8.6	9	8.2	7.4	7.4
0.56	8	8.4	9.4	9.4	8.8	9	8	8.2	7.4
0.57	8.2	8.4	9.2	9.2	9.4	8.6	7.4	7.2	7.2
0.58	8.4	9.2	8.4	8.4	9	8	7.4	7.6	7
0.59	8	8.8	9.2	9	8.2	8	7.8	7.6	7.2
0.6	8.6	8.4	9.2	8.2	7.8	7.6	7	7.4	7.2
